IATA,ICAO,ST/CO,CITY,FUELER,UPDATED,RESTRICTIONS,BASEFUEL,MIN GALLONS,MAX GALLONS,TOTAL PRICE,NOTES,Taxes Included
TGE,006A,AL,Tuskegee,CITY OF TUSKEGEE,12/31/2025,Corporate,CALL,1,99999,CALL,FUEL RELEASE REQUIRED. PLEASE CONTACT AEG DISPATCH FOR VALID FUEL PRICE FOR FUELING. PRICE SUBJECT TO CHANGE AT ANY TIME. ,No
7FA,07FA,FL,KEY LARGO,OCEAN REEF CLUB,3/3/2026,Corporate,3.068804,1,99999,5.307810,"IF AMPLE NOTICE IS NOT PROVIDED, A NO SHOW AND CANCELLATION FEE, EQUIVALENT TO THE APPROPRIATE LANDING FEE WILL BE CHARGED. JET SLOTS MUST BE CANCELLED BY 0800 ON THE DAY PRIOR TO THE DATE OF THE RESERVATION. ",Yes
HIR,AGGH,SB,HONIARA,SOUTH PACIFIC OIL LTD,3/1/2026,Corporate,4.452879,1,99999,4.452879,48 HOUR NOTICE REQUIRED TO CONFIRM FUELINGS. PRICING INCLUSIVE OF ALL TAXES AND FEES KNOWN TO APPLY FOR INTERNATIONAL FLIGHTS. DOMESTIC / INTERNAL FLIGHTS INCUR 15% GST AND SALES TAX ,Yes
INU,ANYN,NR,NAURU,FSM PETROLEUM CORP.,2/10/2026,Corporate,3.727109,1,264171,5.827543,Delivery Charge: 100.00 AUD/Flight // Price inclusive of all taxes and fees known to apply for international flights.  Please note that fuel pricing is subject to change based on the receipt date of jet fuel cargoes and so may update prior to the price expiration date.  Please contact dispatch@aegfuels.com for more information on locking in pricing on a forward planning basis. ,No
BUA,AYBK,PG,BUKA,PUMA ENERGY,2/8/2026,Corporate,6.073457,1,99999,6.073457,"DOMESTIC FLIGHTS INCUR 10% GST. OPERATING HOURS MON-SUN 0600L-1800L. $150 AFTER HOURS FEE MAY APPLY. $25 LOW UPLIFT FEE FOR < 1500 LTRS. $15 HOOK UP FEE. $15 CHARGE PER TICKET REQUEST.

UPLIFT DATE FALLING ON MONDAY TO FRIDAY -FUELING REQUEST MUST BE SENT 24 HOURS  

UPLIFT DATE FALLING ON SATURDAY AND SUNDAY – REQUEST MUST BE SENT 48 HOURS PRIOR TO THE FUELING DATE. ",Yes
HKN,AYHK,PG,HOSKINS,PUMA ENERGY,2/8/2026,Corporate,CALL,1,99999,CALL,"DOMESTIC FLIGHTS INCUR 10% GST. OPERATING HOURS MON-SUN 0600L-1800L. $150 AFTER HOURS FEE MAY APPLY. $25 LOW UPLIFT FEE FOR < 1500 LTRS. $15 HOOK UP FEE. $15 CHARGE PER TICKET REQUEST.

UPLIFT DATE FALLING ON MONDAY TO FRIDAY -FUELING REQUEST MUST BE SENT 24 HOURS  

UPLIFT DATE FALLING ON SATURDAY AND SUNDAY – REQUEST MUST BE SENT 48 HOURS PRIOR TO THE FUELING DATE. ",Yes
UNG,AYKI,PG,KIUNGA,PACIFIC ENERGY SWP - INTL,2/8/2026,Corporate,7.198975,1,999999,7.198975,48 HOUR NOTICE REQUIRED. PRICING INCLUSIVE OF ALL TAXES AND FEES FOR INTERNATIONAL OUTBOUND FLIGHT AND CHANGES WITH DAILY EXCHANGE RATES.  10% GST ADDITIONAL FOR DOMESTIC FLIGHTS. ,No
UNG,AYKI,PG,KIUNGA,PUMA ENERGY,2/8/2026,Corporate,CALL,1,99999,CALL,"DOMESTIC FLIGHTS INCUR 10% GST. OPERATING HOURS MON-SUN 0600L-1800L. $150 AFTER HOURS FEE MAY APPLY. $25 LOW UPLIFT FEE FOR < 1500 LTRS. $15 HOOK UP FEE. $15 CHARGE PER TICKET REQUEST.

UPLIFT DATE FALLING ON MONDAY TO FRIDAY -FUELING REQUEST MUST BE SENT 24 HOURS  

UPLIFT DATE FALLING ON SATURDAY AND SUNDAY – REQUEST MUST BE SENT 48 HOURS PRIOR TO THE FUELING DATE. ",Yes
KVG,AYKV,PG,KAVIENG,PUMA ENERGY,2/8/2026,Corporate,CALL,1,99999,CALL,"DOMESTIC FLIGHTS INCUR 10% GST. $25 LOW UPLIFT FEE FOR < 1500 LTRS. $15 HOOK UP FEE. $15 CHARGE PER TICKET REQUEST.

UPLIFT DATE FALLING ON MONDAY TO FRIDAY -FUELING REQUEST MUST BE SENT 24 HOURS  

UPLIFT DATE FALLING ON SATURDAY AND SUNDAY – REQUEST MUST BE SENT 48 HOURS PRIOR TO THE FUELING DATE. ",Yes
MAG,AYMD,PG,MADANG,PUMA ENERGY,2/8/2026,Corporate,6.611042,1,99999,6.611042,"DOMESTIC FLIGHTS INCUR 10% GST. OPERATING HOURS MON-SUN 0600L-1800L. $150 AFTER HOURS FEE MAY APPLY. $25 LOW UPLIFT FEE FOR < 1500 LTRS. $15 HOOK UP FEE. $15 CHARGE PER TICKET REQUEST.

UPLIFT DATE FALLING ON MONDAY TO FRIDAY -FUELING REQUEST MUST BE SENT 24 HOURS  

UPLIFT DATE FALLING ON SATURDAY AND SUNDAY – REQUEST MUST BE SENT 48 HOURS PRIOR TO THE FUELING DATE. ",Yes
HGU,AYMH,PG,MOUNT HAGEN,PACIFIC ENERGY SWP - INTL,2/8/2026,Corporate,7.304051,1,999999,7.304051,48 HOUR NOTICE REQUIRED. PRICING INCLUSIVE OF ALL TAXES AND FEES FOR INTERNATIONAL OUTBOUND FLIGHT AND CHANGES WITH DAILY EXCHANGE RATES.  10% GST ADDITIONAL FOR DOMESTIC FLIGHTS. ,No
HGU,AYMH,PG,MOUNT HAGEN,PUMA ENERGY,2/8/2026,Corporate,CALL,1,99999,CALL,"DOMESTIC FLIGHTS INCUR 10% GST. OPERATING HOURS MON-SUN 0600L-1800L. $150 AFTER HOURS FEE MAY APPLY. $25 LOW UPLIFT FEE FOR < 1500 LTRS. $15 HOOK UP FEE. $15 CHARGE PER TICKET REQUEST.

UPLIFT DATE FALLING ON MONDAY TO FRIDAY -FUELING REQUEST MUST BE SENT 24 HOURS  

UPLIFT DATE FALLING ON SATURDAY AND SUNDAY – REQUEST MUST BE SENT 48 HOURS PRIOR TO THE FUELING DATE. ",Yes
LAE,AYNZ,PG,LAE,PACIFIC ENERGY SWP - INTL,2/8/2026,Corporate,6.771008,1,99999,6.771008,48 HOUR NOTICE REQUIRED. PRICING INCLUSIVE OF ALL TAXES AND FEES FOR INTERNATIONAL OUTBOUND FLIGHT AND CHANGES WITH DAILY EXCHANGE RATES.  10% GST ADDITIONAL FOR DOMESTIC FLIGHTS. ,No
LAE,AYNZ,PG,LAE,PUMA ENERGY,2/8/2026,Corporate,4.542437,1,999999,4.542437,"DOMESTIC FLIGHTS INCUR 10% GST. OPERATING HOURS MON-SUN 0600L-1800L. $150 AFTER HOURS FEE MAY APPLY. $25 LOW UPLIFT FEE FOR < 1500 LTRS. $15 HOOK UP FEE. $15 CHARGE PER TICKET REQUEST.

UPLIFT DATE FALLING ON MONDAY TO FRIDAY -FUELING REQUEST MUST BE SENT 24 HOURS  

UPLIFT DATE FALLING ON SATURDAY AND SUNDAY – REQUEST MUST BE SENT 48 HOURS PRIOR TO THE FUELING DATE. ",No
POM,AYPY,PG,PORT MORESBY,PACIFIC ENERGY SWP - INTL,2/8/2026,Corporate,4.766254,1,99999,4.766254,48 HOUR NOTICE REQUIRED. PRICING INCLUSIVE OF ALL TAXES AND FEES FOR INTERNATIONAL OUTBOUND FLIGHT AND CHANGES WITH DAILY EXCHANGE RATES.  10% GST ADDITIONAL FOR DOMESTIC FLIGHTS. ,Yes
TBG,AYTB,PG,TABUBIL,PUMA ENERGY,2/8/2026,Corporate,CALL,1,99999,CALL,"DOMESTIC FLIGHTS INCUR 10% GST. OPERATING HOURS MON-SUN 0600L-1800L. $150 AFTER HOURS FEE MAY APPLY. $25 LOW UPLIFT FEE FOR < 1500 LTRS. $15 HOOK UP FEE. $15 CHARGE PER TICKET REQUEST.

UPLIFT DATE FALLING ON MONDAY TO FRIDAY -FUELING REQUEST MUST BE SENT 24 HOURS  

UPLIFT DATE FALLING ON SATURDAY AND SUNDAY – REQUEST MUST BE SENT 48 HOURS PRIOR TO THE FUELING DATE. ",Yes
RAB,AYTK,PG,RABAUL,PACIFIC ENERGY SWP - INTL,2/8/2026,Corporate,7.805183,1,99999,7.805183,48 HOUR NOTICE REQUIRED. PRICING INCLUSIVE OF ALL TAXES AND FEES FOR INTERNATIONAL OUTBOUND FLIGHT AND CHANGES WITH DAILY EXCHANGE RATES.  10% GST ADDITIONAL FOR DOMESTIC FLIGHTS. ,No
RAB,AYTK,PG,RABAUL,PUMA ENERGY,2/8/2026,Corporate,CALL,1,999999,CALL,"DOMESTIC FLIGHTS INCUR 10% GST. OPERATING HOURS MON-SUN 0600L-1800L. $150 AFTER HOURS FEE MAY APPLY. $25 LOW UPLIFT FEE FOR < 1500 LTRS. $15 HOOK UP FEE. $15 CHARGE PER TICKET REQUEST.

UPLIFT DATE FALLING ON MONDAY TO FRIDAY -FUELING REQUEST MUST BE SENT 24 HOURS  

UPLIFT DATE FALLING ON SATURDAY AND SUNDAY – REQUEST MUST BE SENT 48 HOURS PRIOR TO THE FUELING DATE. ",No
VAI,AYVN,PG,VANIMO,PACIFIC ENERGY SWP - INTL,2/8/2026,Corporate,8.300908,1,999999,8.300908,48 HOUR NOTICE REQUIRED. PRICING INCLUSIVE OF ALL TAXES AND FEES FOR INTERNATIONAL OUTBOUND FLIGHT AND CHANGES WITH DAILY EXCHANGE RATES.  10% GST ADDITIONAL FOR DOMESTIC FLIGHTS. ,No
WWK,AYWK,PG,WEWAK,PUMA ENERGY,2/8/2026,Corporate,5.461592,1,99999,5.461592,"DOMESTIC FLIGHTS INCUR 10% GST. OPERATING HOURS MON-SUN 0600L-1800L. $150 AFTER HOURS FEE MAY APPLY. $25 LOW UPLIFT FEE FOR < 1500 LTRS. 55PGK HOOK UP FEE PER UPLIFT. $15 CHARGE PER TICKET REQUEST.

UPLIFT DATE FALLING ON MONDAY TO FRIDAY -FUELING REQUEST MUST BE SENT 24 HOURS  

UPLIFT DATE FALLING ON SATURDAY AND SUNDAY – REQUEST MUST BE SENT 48 HOURS PRIOR TO THE FUELING DATE. ",Yes
JEG,BGAA,GL,AASIAAT,GREENLAND AIRPORTS,3/1/2026,Corporate,7.089485,1,99999,7.089485,PRICING INCLUSIVE OF ALL TAXES AND FEES KNOWN TO APPLY AND IS SUBJECT TO CHANGE WITH EXCHANGE RATE FLUCTUATION. PRICE IS SUBJECT TO CHANGE AT ANYTIME. ,Yes
UAK,BGBW,GL,NARSARSUAQ,GREENLAND AIRPORTS,3/1/2026,Corporate,7.146985,1,99999,7.146985,"PRICING INCLUSIVE OF ALL TAXES AND FEES KNOWN TO APPLY AND IS SUBJECT TO CHANGE WITH EXCHANGE RATE FLUCTUATION.

BGBW OPERATING HOURS
MONDAY–SATURDAY FROM 1100Z-2000Z ",Yes
CNP,BGCO,GL,ITTOQQORTOORMIT,GREENLAND AIRPORTS,3/1/2026,Corporate,7.089485,1,99999,7.089485,PRICING INCLUSIVE OF ALL TAXES AND FEES KNOWN TO APPLY AND IS SUBJECT TO CHANGE WITH EXCHANGE RATE FLUCTUATION ,Yes
GOH,BGGH,GL,GODTHAB,GREENLAND AIRPORTS,3/1/2026,Corporate,7.146985,1,99999,7.146985,PRICING INCLUSIVE OF ALL TAXES AND FEES KNOWN TO APPLY AND IS SUBJECT TO CHANGE WITH EXCHANGE RATE FLUCTUATION ,Yes
JAV,BGJN,GL,LLULISSAT,GREENLAND AIRPORTS,3/1/2026,Corporate,7.146985,1,99999,7.146985,PRICING INCLUSIVE OF ALL TAXES AND FEES KNOWN TO APPLY AND IS SUBJECT TO CHANGE WITH EXCHANGE RATE FLUCTUATION ,Yes
KUS,BGKK,GL,KULUSUK,GREENLAND AIRPORTS,3/1/2026,Corporate,7.146985,1,99999,7.146985,PRICING INCLUSIVE OF ALL TAXES AND FEES KNOWN TO APPLY AND IS SUBJECT TO CHANGE WITH EXCHANGE RATE FLUCTUATION ,Yes
JSU,BGMQ,GL,MANIITSOQ,GREENLAND AIRPORTS,3/1/2026,Corporate,7.089485,1,99999,7.089485,PRICING INCLUSIVE OF ALL TAXES AND FEES KNOWN TO APPLY AND IS SUBJECT TO CHANGE WITH EXCHANGE RATE FLUCTUATION ,Yes
JFR,BGPT,GL,PAAMIUT,GREENLAND AIRPORTS,3/1/2026,Corporate,7.089485,1,99999,7.089485,PRICING INCLUSIVE OF ALL TAXES AND FEES KNOWN TO APPLY AND IS SUBJECT TO CHANGE WITH EXCHANGE RATE FLUCTUATION ,Yes
NAQ,BGQQ,GL,QAANAAQ,GREENLAND AIRPORTS,3/1/2026,Corporate,7.149341,1,99999,7.149341,PRICING INCLUSIVE OF ALL TAXES AND FEES KNOWN TO APPLY AND IS SUBJECT TO CHANGE WITH EXCHANGE RATE FLUCTUATION ,Yes
SFJ,BGSF,GL,SANDRESTROM,AIR BP - GREENLAND,3/1/2026,Corporate,8.430000,1,999999,8.926797,GENERAL AVIATION AND MILITARY FUELINGS. PRICING INCLUSIVE OF ALL TAXES AND FEES KNOWN TO APPLY. 100 DKK/UPLIFT HOOKUP FEE MAY APPLY. 300 DKK MINIMUM UPLIFT FOR < 200 LTRS. 1000 DKK NO FUEL FEE. 200 DKK OVERWING FEE. 1000 DKK REMOTE APRON FEE. ,No
JHS,BGSS,GL,SISIMIUT,GREENLAND AIRPORTS,3/1/2026,Corporate,7.089485,1,99999,7.089485,PRICING INCLUSIVE OF ALL TAXES AND FEES KNOWN TO APPLY AND IS SUBJECT TO CHANGE WITH EXCHANGE RATE FLUCTUATION ,Yes
THU,BGTL,GL,THULE,UNITED STATES SPACE FORCE,3/3/2026,Corporate,3.099494,1,99999,3.099494,ALL REQUESTS FOR PRICING AND AUTHORIZATION MUST BE VALIDATED THROUGH DISPATCH@AEGFUELS.COM WITH NO LESS THAN 48 HOURS NOTICE FOR FUELINGS M-F AND 72 HOURS FOR WEEKEND FUELINGS. ,No
JUV,BGUK,GL,UPERNAVIK,GREENLAND AIRPORTS,3/1/2026,Corporate,7.146985,1,99999,7.146985,PRICING INCLUSIVE OF ALL TAXES AND FEES KNOWN TO APPLY AND IS SUBJECT TO CHANGE WITH EXCHANGE RATE FLUCTUATION ,Yes
JQA,BGUQ,GL,QAARSUT,GREENLAND AIRPORTS,3/1/2026,Corporate,7.089485,1,99999,7.089485,PRICING INCLUSIVE OF ALL TAXES AND FEES KNOWN TO APPLY AND IS SUBJECT TO CHANGE WITH EXCHANGE RATE FLUCTUATION ,Yes
