ICAO,FBO,TIER,PRICE,NAME,
07FA,OCEAN REEF CLUB,1,5.29000,,
9TE2,THE JL BAR RANCH & RESORT AIRPORT,1,5.74349,,
9TE2,THE JL BAR RANCH & RESORT AIRPORT,251,5.64349,,
9TE2,THE JL BAR RANCH & RESORT AIRPORT,501,5.54349,,
9TE2,THE JL BAR RANCH & RESORT AIRPORT,1001,5.49349,,
AGGH,SOUTH PACIFIC OIL LTD (FUEL ONLY),1,4.87107,48 HOUR NOTICE REQUIRED TO CONFIRM FUELINGS. PRICING INCLUSIVE OF ALL TAXES AND FEES KNOWN TO APPLY FOR INTERNATIONAL FLIGHTS. DOMESTIC / INTERNAL FLIGHTS INCUR 15% GST AND SALES TAX,
ANYN,FSM PETROLEUM CORPORATION,1,6.05869,Delivery Charge: 100.00 AUD/Flight // Price inclusive of all taxes and fees known to apply for international flights.  Please note that fuel pricing is subject to change based on the receipt date of jet fuel cargoes and so may update prior to the price expiration date.  Please contact dispatch@aegfuels.com for more information on locking in pricing on a forward planning basis.,
AYBK,PUMA ENERGY (FUEL ONLY),1,6.56148,DOMESTIC FLIGHTS INCUR 10% GST. OPERATING HOURS MON-SUN 0600L-1800L. $150 AFTER HOURS FEE MAY APPLY. $25 LOW UPLIFT FEE FOR < 1500 LTRS. $15 HOOK UP FEE. $15 CHARGE PER TICKET REQUEST.  UPLIFT DATE FALLING ON MONDAY TO FRIDAY -FUELING REQUEST MUST BE SENT 24 HOURS    UPLIFT DATE FALLING ON SATURDAY AND SUNDAY ? REQUEST MUST BE SENT 48 HOURS PRIOR TO THE FUELING DATE.,
AYKI,PACIFIC ENERGY (FUEL ONLY),1,7.55897,48 HOUR NOTICE REQUIRED. PRICING INCLUSIVE OF ALL TAXES AND FEES FOR INTERNATIONAL OUTBOUND FLIGHT AND CHANGES WITH DAILY EXCHANGE RATES.  10% GST ADDITIONAL FOR DOMESTIC FLIGHTS.,
AYMD,PUMA ENERGY (FUEL ONLY),1,7.10180,DOMESTIC FLIGHTS INCUR 10% GST. OPERATING HOURS MON-SUN 0600L-1800L. $150 AFTER HOURS FEE MAY APPLY. $25 LOW UPLIFT FEE FOR < 1500 LTRS. $15 HOOK UP FEE. $15 CHARGE PER TICKET REQUEST.  UPLIFT DATE FALLING ON MONDAY TO FRIDAY -FUELING REQUEST MUST BE SENT 24 HOURS    UPLIFT DATE FALLING ON SATURDAY AND SUNDAY ? REQUEST MUST BE SENT 48 HOURS PRIOR TO THE FUELING DATE.,
AYMH,PACIFIC ENERGY (FUEL ONLY),1,7.76225,48 HOUR NOTICE REQUIRED. PRICING INCLUSIVE OF ALL TAXES AND FEES FOR INTERNATIONAL OUTBOUND FLIGHT AND CHANGES WITH DAILY EXCHANGE RATES.  10% GST ADDITIONAL FOR DOMESTIC FLIGHTS.,
AYNZ,PACIFIC ENERGY (FUEL ONLY),1,7.22850,48 HOUR NOTICE REQUIRED. PRICING INCLUSIVE OF ALL TAXES AND FEES FOR INTERNATIONAL OUTBOUND FLIGHT AND CHANGES WITH DAILY EXCHANGE RATES.  10% GST ADDITIONAL FOR DOMESTIC FLIGHTS.,
AYNZ,PUMA ENERGY (FUEL ONLY),1,5.02339,DOMESTIC FLIGHTS INCUR 10% GST. OPERATING HOURS MON-SUN 0600L-1800L. $150 AFTER HOURS FEE MAY APPLY. $25 LOW UPLIFT FEE FOR < 1500 LTRS. $15 HOOK UP FEE. $15 CHARGE PER TICKET REQUEST.  UPLIFT DATE FALLING ON MONDAY TO FRIDAY -FUELING REQUEST MUST BE SENT 24 HOURS    UPLIFT DATE FALLING ON SATURDAY AND SUNDAY ? REQUEST MUST BE SENT 48 HOURS PRIOR TO THE FUELING DATE.,
AYPY,PACIFIC ENERGY AVIATION (PNG) LTD (FUEL ONLY),1,5.22375,48 HOUR NOTICE REQUIRED. PRICING INCLUSIVE OF ALL TAXES AND FEES FOR INTERNATIONAL OUTBOUND FLIGHT AND CHANGES WITH DAILY EXCHANGE RATES.  10% GST ADDITIONAL FOR DOMESTIC FLIGHTS.,
AYTK,PACIFIC ENERGY (FUEL ONLY),1,8.26268,48 HOUR NOTICE REQUIRED. PRICING INCLUSIVE OF ALL TAXES AND FEES FOR INTERNATIONAL OUTBOUND FLIGHT AND CHANGES WITH DAILY EXCHANGE RATES.  10% GST ADDITIONAL FOR DOMESTIC FLIGHTS.,
