"Country/State","City","ICAO","Supplier","Gal From","Gal To","Exp Date","Estimated Price","Estimated Taxes","Estimated Total Price","Pre- Arr Req","Notes"
"Anguilla","WALLBLAKE","TQPF","LLOYD AVIATION","1","999999999","02-Mar-26","7.85","0","7.85",,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**/1) Minimum Notice Required: For fuel after hours, 48 hours prior notice is required 2) Ramps serviced:All ramps 3) Additional Information: Nil For more information please contact your local fuel logistics team on fuel24@wfscorp.com"
"Anguilla","WALLBLAKE","TQPF","LLOYD AVIATION","1","999999999","02-Mar-26","7.95","0","7.95",,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JETA-ADDITIVE**/1) Minimum Notice Required: For fuel after hours, 48 hours prior notice is required 2) Ramps serviced:All ramps 3) Additional Information: Nil For more information please contact your local fuel logistics team on fuel24@wfscorp.com"
"Antigua and Barbuda","SAINT JOHN","TAPA","SIGNATURE FLIGHT SUPPORT OPERATIONS ANTIGUA LTD","1","1499","23-Feb-26","8.8476","0","8.8476",,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JETA-ADDITIVE**/Urgent info **Tower is short staffed and cannot accept flights after Midnight until further notice. 1) Minimum Notice Required:Not during regular working hours. 2) Ramps serviced:All ramps 3) Additional Information: None. for more information please contact your local fuel logistics team on fuel24@wfscorp.com"
"Antigua and Barbuda","SAINT JOHN","TAPA","SIGNATURE FLIGHT SUPPORT OPERATIONS ANTIGUA LTD","1500","999999999","23-Feb-26","8.7976","0","8.7976",,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JETA-ADDITIVE**/Urgent info **Tower is short staffed and cannot accept flights after Midnight until further notice. 1) Minimum Notice Required:Not during regular working hours. 2) Ramps serviced:All ramps 3) Additional Information: None. for more information please contact your local fuel logistics team on fuel24@wfscorp.com"
"Antigua and Barbuda","SAINT JOHN","TAPA","SIGNATURE FLIGHT SUPPORT OPERATIONS ANTIGUA LTD","1","1499","23-Feb-26","8.6576","0","8.6576",,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**/Urgent info **Tower is short staffed and cannot accept flights after Midnight until further notice. 1) Minimum Notice Required:Not during regular working hours. 2) Ramps serviced:All ramps 3) Additional Information: None. for more information please contact your local fuel logistics team on fuel24@wfscorp.com"
"Antigua and Barbuda","SAINT JOHN","TAPA","SIGNATURE FLIGHT SUPPORT OPERATIONS ANTIGUA LTD","1500","999999999","23-Feb-26","8.6076","0","8.6076",,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**/Urgent info **Tower is short staffed and cannot accept flights after Midnight until further notice. 1) Minimum Notice Required:Not during regular working hours. 2) Ramps serviced:All ramps 3) Additional Information: None. for more information please contact your local fuel logistics team on fuel24@wfscorp.com"
"Antigua and Barbuda","SAINT JOHN","TAPA","BIZJET-TO-YACHT","1","2499","25-Feb-26","6.8856","0","6.8856",,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**/***Tower is short staffed and cannot accept flights after Midnight until further notice.**** 1) Minimum Notice Required: At Least 24 hrs notice required. 2) Ramps serviced: Effective immediately- Fueling at the Main Terminal and Stand 12 only. They cannot fuel at RUNWAY 10 until further notice.. 3) Additional Information: None. For more information, please contact your local fuel logistics team on fuel24@wfscorp.com"
"Antigua and Barbuda","SAINT JOHN","TAPA","BIZJET-TO-YACHT","2500","999999999","25-Feb-26","6.8056","0","6.8056",,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**/***Tower is short staffed and cannot accept flights after Midnight until further notice.**** 1) Minimum Notice Required: At Least 24 hrs notice required. 2) Ramps serviced: Effective immediately- Fueling at the Main Terminal and Stand 12 only. They cannot fuel at RUNWAY 10 until further notice.. 3) Additional Information: None. For more information, please contact your local fuel logistics team on fuel24@wfscorp.com"
"Aruba","ORANJESTAD","TNCA","JET-TNCA","1","500","09-Mar-26","4.8458","0","4.8458",,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**/N/A"
"Aruba","ORANJESTAD","TNCA","JET-TNCA","501","1000","09-Mar-26","4.7958","0","4.7958",,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**/N/A"
"Aruba","ORANJESTAD","TNCA","JET-TNCA","1001","2000","09-Mar-26","4.7458","0","4.7458",,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**/N/A"
"Aruba","ORANJESTAD","TNCA","JET-TNCA","2001","999999999","09-Mar-26","4.6958","0","4.6958",,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**/N/A"
"Bahamas","MARSH HARBOUR","MYAM","CHEROKEE AVIATION","1","999999999","24-Feb-26","7.3178","0","7.3178",,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JETA-ADDITIVE**/1) Minimum Notice Required:Nil. 2) Ramps serviced:All Ramps 3) Additional Information: Prist Available for more information, please contact your local fuel logistics team on fuel24@wfscorp.com"
"Bahamas","MARSH HARBOUR","MYAM","CHEROKEE AVIATION","1","999999999","24-Feb-26","6.8178","0","6.8178",,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**/1) Minimum Notice Required:Nil. 2) Ramps serviced:All Ramps 3) Additional Information: Prist Available for more information, please contact your local fuel logistics team on fuel24@wfscorp.com"
